case_name,case_tag,case_role,patient_id,model,model_display,view_name,view_display,html,png,summary,acc_no_bg,d21_f1,d21_iou,f1_macro_no_bg,mesh_source
best_row091_01MAVT6A_upper,best,Mejor caso,01MAVT6A,pointnet,PointNet,oclusal_paper,oclusal superior,/home/htaucare/Tesis_Amaro/case_comparisons/QUALI_CASES_V17/VISTA_TESIS_INFERENCIA_AJUSTADA_V2/best_row091_01MAVT6A_upper/pointnet/vista_tesis_best_pointnet_oclusal_paper.html,/home/htaucare/Tesis_Amaro/case_comparisons/QUALI_CASES_V17/VISTA_TESIS_INFERENCIA_AJUSTADA_V2/best_row091_01MAVT6A_upper/pointnet/vista_tesis_best_pointnet_oclusal_paper.png,/home/htaucare/Tesis_Amaro/case_comparisons/QUALI_CASES_V17/VISTA_TESIS_INFERENCIA_AJUSTADA_V2/best_row091_01MAVT6A_upper/pointnet/vista_tesis_best_pointnet_oclusal_paper.summary.json,0.970696,0.845304,0.732057,0.701204,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/raw/data_part_4/upper/01MAVT6A/01MAVT6A_upper.obj
best_row091_01MAVT6A_upper,best,Mejor caso,01MAVT6A,pointnet,PointNet,isometrica_ajustada,cuasi-isométrica,/home/htaucare/Tesis_Amaro/case_comparisons/QUALI_CASES_V17/VISTA_TESIS_INFERENCIA_AJUSTADA_V2/best_row091_01MAVT6A_upper/pointnet/vista_tesis_best_pointnet_isometrica_ajustada.html,/home/htaucare/Tesis_Amaro/case_comparisons/QUALI_CASES_V17/VISTA_TESIS_INFERENCIA_AJUSTADA_V2/best_row091_01MAVT6A_upper/pointnet/vista_tesis_best_pointnet_isometrica_ajustada.png,/home/htaucare/Tesis_Amaro/case_comparisons/QUALI_CASES_V17/VISTA_TESIS_INFERENCIA_AJUSTADA_V2/best_row091_01MAVT6A_upper/pointnet/vista_tesis_best_pointnet_isometrica_ajustada.summary.json,0.970696,0.845304,0.732057,0.701204,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/raw/data_part_4/upper/01MAVT6A/01MAVT6A_upper.obj
best_row091_01MAVT6A_upper,best,Mejor caso,01MAVT6A,pointnetpp,PointNet++,oclusal_paper,oclusal superior,/home/htaucare/Tesis_Amaro/case_comparisons/QUALI_CASES_V17/VISTA_TESIS_INFERENCIA_AJUSTADA_V2/best_row091_01MAVT6A_upper/pointnetpp/vista_tesis_best_pointnetpp_oclusal_paper.html,/home/htaucare/Tesis_Amaro/case_comparisons/QUALI_CASES_V17/VISTA_TESIS_INFERENCIA_AJUSTADA_V2/best_row091_01MAVT6A_upper/pointnetpp/vista_tesis_best_pointnetpp_oclusal_paper.png,/home/htaucare/Tesis_Amaro/case_comparisons/QUALI_CASES_V17/VISTA_TESIS_INFERENCIA_AJUSTADA_V2/best_row091_01MAVT6A_upper/pointnetpp/vista_tesis_best_pointnetpp_oclusal_paper.summary.json,0.991453,0.876791,0.780612,0.890221,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/raw/data_part_4/upper/01MAVT6A/01MAVT6A_upper.obj
best_row091_01MAVT6A_upper,best,Mejor caso,01MAVT6A,pointnetpp,PointNet++,isometrica_ajustada,cuasi-isométrica,/home/htaucare/Tesis_Amaro/case_comparisons/QUALI_CASES_V17/VISTA_TESIS_INFERENCIA_AJUSTADA_V2/best_row091_01MAVT6A_upper/pointnetpp/vista_tesis_best_pointnetpp_isometrica_ajustada.html,/home/htaucare/Tesis_Amaro/case_comparisons/QUALI_CASES_V17/VISTA_TESIS_INFERENCIA_AJUSTADA_V2/best_row091_01MAVT6A_upper/pointnetpp/vista_tesis_best_pointnetpp_isometrica_ajustada.png,/home/htaucare/Tesis_Amaro/case_comparisons/QUALI_CASES_V17/VISTA_TESIS_INFERENCIA_AJUSTADA_V2/best_row091_01MAVT6A_upper/pointnetpp/vista_tesis_best_pointnetpp_isometrica_ajustada.summary.json,0.991453,0.876791,0.780612,0.890221,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/raw/data_part_4/upper/01MAVT6A/01MAVT6A_upper.obj
best_row091_01MAVT6A_upper,best,Mejor caso,01MAVT6A,dgcnn,DGCNN,oclusal_paper,oclusal superior,/home/htaucare/Tesis_Amaro/case_comparisons/QUALI_CASES_V17/VISTA_TESIS_INFERENCIA_AJUSTADA_V2/best_row091_01MAVT6A_upper/dgcnn/vista_tesis_best_dgcnn_oclusal_paper.html,/home/htaucare/Tesis_Amaro/case_comparisons/QUALI_CASES_V17/VISTA_TESIS_INFERENCIA_AJUSTADA_V2/best_row091_01MAVT6A_upper/dgcnn/vista_tesis_best_dgcnn_oclusal_paper.png,/home/htaucare/Tesis_Amaro/case_comparisons/QUALI_CASES_V17/VISTA_TESIS_INFERENCIA_AJUSTADA_V2/best_row091_01MAVT6A_upper/dgcnn/vista_tesis_best_dgcnn_oclusal_paper.summary.json,0.982295,0.913433,0.840659,0.800380,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/raw/data_part_4/upper/01MAVT6A/01MAVT6A_upper.obj
best_row091_01MAVT6A_upper,best,Mejor caso,01MAVT6A,dgcnn,DGCNN,isometrica_ajustada,cuasi-isométrica,/home/htaucare/Tesis_Amaro/case_comparisons/QUALI_CASES_V17/VISTA_TESIS_INFERENCIA_AJUSTADA_V2/best_row091_01MAVT6A_upper/dgcnn/vista_tesis_best_dgcnn_isometrica_ajustada.html,/home/htaucare/Tesis_Amaro/case_comparisons/QUALI_CASES_V17/VISTA_TESIS_INFERENCIA_AJUSTADA_V2/best_row091_01MAVT6A_upper/dgcnn/vista_tesis_best_dgcnn_isometrica_ajustada.png,/home/htaucare/Tesis_Amaro/case_comparisons/QUALI_CASES_V17/VISTA_TESIS_INFERENCIA_AJUSTADA_V2/best_row091_01MAVT6A_upper/dgcnn/vista_tesis_best_dgcnn_isometrica_ajustada.summary.json,0.982295,0.913433,0.840659,0.800380,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/raw/data_part_4/upper/01MAVT6A/01MAVT6A_upper.obj
best_row091_01MAVT6A_upper,best,Mejor caso,01MAVT6A,pointnettransformer,Transformer,oclusal_paper,oclusal superior,/home/htaucare/Tesis_Amaro/case_comparisons/QUALI_CASES_V17/VISTA_TESIS_INFERENCIA_AJUSTADA_V2/best_row091_01MAVT6A_upper/pointnettransformer/vista_tesis_best_pointnettransformer_oclusal_paper.html,/home/htaucare/Tesis_Amaro/case_comparisons/QUALI_CASES_V17/VISTA_TESIS_INFERENCIA_AJUSTADA_V2/best_row091_01MAVT6A_upper/pointnettransformer/vista_tesis_best_pointnettransformer_oclusal_paper.png,/home/htaucare/Tesis_Amaro/case_comparisons/QUALI_CASES_V17/VISTA_TESIS_INFERENCIA_AJUSTADA_V2/best_row091_01MAVT6A_upper/pointnettransformer/vista_tesis_best_pointnettransformer_oclusal_paper.summary.json,0.957875,0.815013,0.687783,0.801872,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/raw/data_part_4/upper/01MAVT6A/01MAVT6A_upper.obj
best_row091_01MAVT6A_upper,best,Mejor caso,01MAVT6A,pointnettransformer,Transformer,isometrica_ajustada,cuasi-isométrica,/home/htaucare/Tesis_Amaro/case_comparisons/QUALI_CASES_V17/VISTA_TESIS_INFERENCIA_AJUSTADA_V2/best_row091_01MAVT6A_upper/pointnettransformer/vista_tesis_best_pointnettransformer_isometrica_ajustada.html,/home/htaucare/Tesis_Amaro/case_comparisons/QUALI_CASES_V17/VISTA_TESIS_INFERENCIA_AJUSTADA_V2/best_row091_01MAVT6A_upper/pointnettransformer/vista_tesis_best_pointnettransformer_isometrica_ajustada.png,/home/htaucare/Tesis_Amaro/case_comparisons/QUALI_CASES_V17/VISTA_TESIS_INFERENCIA_AJUSTADA_V2/best_row091_01MAVT6A_upper/pointnettransformer/vista_tesis_best_pointnettransformer_isometrica_ajustada.summary.json,0.957875,0.815013,0.687783,0.801872,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/raw/data_part_4/upper/01MAVT6A/01MAVT6A_upper.obj
median_row089_015RHV4X_upper,median,Caso mediano,015RHV4X,pointnet,PointNet,oclusal_paper,oclusal superior,/home/htaucare/Tesis_Amaro/case_comparisons/QUALI_CASES_V17/VISTA_TESIS_INFERENCIA_AJUSTADA_V2/median_row089_015RHV4X_upper/pointnet/vista_tesis_median_pointnet_oclusal_paper.html,/home/htaucare/Tesis_Amaro/case_comparisons/QUALI_CASES_V17/VISTA_TESIS_INFERENCIA_AJUSTADA_V2/median_row089_015RHV4X_upper/pointnet/vista_tesis_median_pointnet_oclusal_paper.png,/home/htaucare/Tesis_Amaro/case_comparisons/QUALI_CASES_V17/VISTA_TESIS_INFERENCIA_AJUSTADA_V2/median_row089_015RHV4X_upper/pointnet/vista_tesis_median_pointnet_oclusal_paper.summary.json,0.938950,0.902507,0.822335,0.775834,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/raw/data_part_3/upper/015RHV4X/015RHV4X_upper.obj
median_row089_015RHV4X_upper,median,Caso mediano,015RHV4X,pointnet,PointNet,isometrica_ajustada,cuasi-isométrica,/home/htaucare/Tesis_Amaro/case_comparisons/QUALI_CASES_V17/VISTA_TESIS_INFERENCIA_AJUSTADA_V2/median_row089_015RHV4X_upper/pointnet/vista_tesis_median_pointnet_isometrica_ajustada.html,/home/htaucare/Tesis_Amaro/case_comparisons/QUALI_CASES_V17/VISTA_TESIS_INFERENCIA_AJUSTADA_V2/median_row089_015RHV4X_upper/pointnet/vista_tesis_median_pointnet_isometrica_ajustada.png,/home/htaucare/Tesis_Amaro/case_comparisons/QUALI_CASES_V17/VISTA_TESIS_INFERENCIA_AJUSTADA_V2/median_row089_015RHV4X_upper/pointnet/vista_tesis_median_pointnet_isometrica_ajustada.summary.json,0.938950,0.902507,0.822335,0.775834,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/raw/data_part_3/upper/015RHV4X/015RHV4X_upper.obj
