case_name,case_tag,model,view_name,html,png,summary,acc_no_bg,d21_f1,d21_iou,mesh_source
best_row091_01MAVT6A_upper,best,pointnet,isometrica_ajustada,/home/htaucare/Tesis_Amaro/case_comparisons/QUALI_CASES_V17/VISTA_TESIS_INFERENCIA_AJUSTADA/best_row091_01MAVT6A_upper/pointnet/vista_tesis_best_pointnet_isometrica_ajustada.html,/home/htaucare/Tesis_Amaro/case_comparisons/QUALI_CASES_V17/VISTA_TESIS_INFERENCIA_AJUSTADA/best_row091_01MAVT6A_upper/pointnet/vista_tesis_best_pointnet_isometrica_ajustada.png,/home/htaucare/Tesis_Amaro/case_comparisons/QUALI_CASES_V17/VISTA_TESIS_INFERENCIA_AJUSTADA/best_row091_01MAVT6A_upper/pointnet/vista_tesis_best_pointnet_isometrica_ajustada.summary.json,0.970696,0.845304,0.732057,
best_row091_01MAVT6A_upper,best,pointnet,oclusal_paper,/home/htaucare/Tesis_Amaro/case_comparisons/QUALI_CASES_V17/VISTA_TESIS_INFERENCIA_AJUSTADA/best_row091_01MAVT6A_upper/pointnet/vista_tesis_best_pointnet_oclusal_paper.html,/home/htaucare/Tesis_Amaro/case_comparisons/QUALI_CASES_V17/VISTA_TESIS_INFERENCIA_AJUSTADA/best_row091_01MAVT6A_upper/pointnet/vista_tesis_best_pointnet_oclusal_paper.png,/home/htaucare/Tesis_Amaro/case_comparisons/QUALI_CASES_V17/VISTA_TESIS_INFERENCIA_AJUSTADA/best_row091_01MAVT6A_upper/pointnet/vista_tesis_best_pointnet_oclusal_paper.summary.json,0.970696,0.845304,0.732057,
best_row091_01MAVT6A_upper,best,pointnet,lateral_derecha_extra,/home/htaucare/Tesis_Amaro/case_comparisons/QUALI_CASES_V17/VISTA_TESIS_INFERENCIA_AJUSTADA/best_row091_01MAVT6A_upper/pointnet/vista_tesis_best_pointnet_lateral_derecha_extra.html,/home/htaucare/Tesis_Amaro/case_comparisons/QUALI_CASES_V17/VISTA_TESIS_INFERENCIA_AJUSTADA/best_row091_01MAVT6A_upper/pointnet/vista_tesis_best_pointnet_lateral_derecha_extra.png,/home/htaucare/Tesis_Amaro/case_comparisons/QUALI_CASES_V17/VISTA_TESIS_INFERENCIA_AJUSTADA/best_row091_01MAVT6A_upper/pointnet/vista_tesis_best_pointnet_lateral_derecha_extra.summary.json,0.970696,0.845304,0.732057,
best_row091_01MAVT6A_upper,best,pointnetpp,isometrica_ajustada,/home/htaucare/Tesis_Amaro/case_comparisons/QUALI_CASES_V17/VISTA_TESIS_INFERENCIA_AJUSTADA/best_row091_01MAVT6A_upper/pointnetpp/vista_tesis_best_pointnetpp_isometrica_ajustada.html,/home/htaucare/Tesis_Amaro/case_comparisons/QUALI_CASES_V17/VISTA_TESIS_INFERENCIA_AJUSTADA/best_row091_01MAVT6A_upper/pointnetpp/vista_tesis_best_pointnetpp_isometrica_ajustada.png,/home/htaucare/Tesis_Amaro/case_comparisons/QUALI_CASES_V17/VISTA_TESIS_INFERENCIA_AJUSTADA/best_row091_01MAVT6A_upper/pointnetpp/vista_tesis_best_pointnetpp_isometrica_ajustada.summary.json,0.991453,0.876791,0.780612,
best_row091_01MAVT6A_upper,best,pointnetpp,oclusal_paper,/home/htaucare/Tesis_Amaro/case_comparisons/QUALI_CASES_V17/VISTA_TESIS_INFERENCIA_AJUSTADA/best_row091_01MAVT6A_upper/pointnetpp/vista_tesis_best_pointnetpp_oclusal_paper.html,/home/htaucare/Tesis_Amaro/case_comparisons/QUALI_CASES_V17/VISTA_TESIS_INFERENCIA_AJUSTADA/best_row091_01MAVT6A_upper/pointnetpp/vista_tesis_best_pointnetpp_oclusal_paper.png,/home/htaucare/Tesis_Amaro/case_comparisons/QUALI_CASES_V17/VISTA_TESIS_INFERENCIA_AJUSTADA/best_row091_01MAVT6A_upper/pointnetpp/vista_tesis_best_pointnetpp_oclusal_paper.summary.json,0.991453,0.876791,0.780612,
best_row091_01MAVT6A_upper,best,pointnetpp,lateral_derecha_extra,/home/htaucare/Tesis_Amaro/case_comparisons/QUALI_CASES_V17/VISTA_TESIS_INFERENCIA_AJUSTADA/best_row091_01MAVT6A_upper/pointnetpp/vista_tesis_best_pointnetpp_lateral_derecha_extra.html,/home/htaucare/Tesis_Amaro/case_comparisons/QUALI_CASES_V17/VISTA_TESIS_INFERENCIA_AJUSTADA/best_row091_01MAVT6A_upper/pointnetpp/vista_tesis_best_pointnetpp_lateral_derecha_extra.png,/home/htaucare/Tesis_Amaro/case_comparisons/QUALI_CASES_V17/VISTA_TESIS_INFERENCIA_AJUSTADA/best_row091_01MAVT6A_upper/pointnetpp/vista_tesis_best_pointnetpp_lateral_derecha_extra.summary.json,0.991453,0.876791,0.780612,
best_row091_01MAVT6A_upper,best,dgcnn,isometrica_ajustada,/home/htaucare/Tesis_Amaro/case_comparisons/QUALI_CASES_V17/VISTA_TESIS_INFERENCIA_AJUSTADA/best_row091_01MAVT6A_upper/dgcnn/vista_tesis_best_dgcnn_isometrica_ajustada.html,/home/htaucare/Tesis_Amaro/case_comparisons/QUALI_CASES_V17/VISTA_TESIS_INFERENCIA_AJUSTADA/best_row091_01MAVT6A_upper/dgcnn/vista_tesis_best_dgcnn_isometrica_ajustada.png,/home/htaucare/Tesis_Amaro/case_comparisons/QUALI_CASES_V17/VISTA_TESIS_INFERENCIA_AJUSTADA/best_row091_01MAVT6A_upper/dgcnn/vista_tesis_best_dgcnn_isometrica_ajustada.summary.json,0.982295,0.913433,0.840659,
best_row091_01MAVT6A_upper,best,dgcnn,oclusal_paper,/home/htaucare/Tesis_Amaro/case_comparisons/QUALI_CASES_V17/VISTA_TESIS_INFERENCIA_AJUSTADA/best_row091_01MAVT6A_upper/dgcnn/vista_tesis_best_dgcnn_oclusal_paper.html,/home/htaucare/Tesis_Amaro/case_comparisons/QUALI_CASES_V17/VISTA_TESIS_INFERENCIA_AJUSTADA/best_row091_01MAVT6A_upper/dgcnn/vista_tesis_best_dgcnn_oclusal_paper.png,/home/htaucare/Tesis_Amaro/case_comparisons/QUALI_CASES_V17/VISTA_TESIS_INFERENCIA_AJUSTADA/best_row091_01MAVT6A_upper/dgcnn/vista_tesis_best_dgcnn_oclusal_paper.summary.json,0.982295,0.913433,0.840659,
best_row091_01MAVT6A_upper,best,dgcnn,lateral_derecha_extra,/home/htaucare/Tesis_Amaro/case_comparisons/QUALI_CASES_V17/VISTA_TESIS_INFERENCIA_AJUSTADA/best_row091_01MAVT6A_upper/dgcnn/vista_tesis_best_dgcnn_lateral_derecha_extra.html,/home/htaucare/Tesis_Amaro/case_comparisons/QUALI_CASES_V17/VISTA_TESIS_INFERENCIA_AJUSTADA/best_row091_01MAVT6A_upper/dgcnn/vista_tesis_best_dgcnn_lateral_derecha_extra.png,/home/htaucare/Tesis_Amaro/case_comparisons/QUALI_CASES_V17/VISTA_TESIS_INFERENCIA_AJUSTADA/best_row091_01MAVT6A_upper/dgcnn/vista_tesis_best_dgcnn_lateral_derecha_extra.summary.json,0.982295,0.913433,0.840659,
best_row091_01MAVT6A_upper,best,pointnettransformer,isometrica_ajustada,/home/htaucare/Tesis_Amaro/case_comparisons/QUALI_CASES_V17/VISTA_TESIS_INFERENCIA_AJUSTADA/best_row091_01MAVT6A_upper/pointnettransformer/vista_tesis_best_pointnettransformer_isometrica_ajustada.html,/home/htaucare/Tesis_Amaro/case_comparisons/QUALI_CASES_V17/VISTA_TESIS_INFERENCIA_AJUSTADA/best_row091_01MAVT6A_upper/pointnettransformer/vista_tesis_best_pointnettransformer_isometrica_ajustada.png,/home/htaucare/Tesis_Amaro/case_comparisons/QUALI_CASES_V17/VISTA_TESIS_INFERENCIA_AJUSTADA/best_row091_01MAVT6A_upper/pointnettransformer/vista_tesis_best_pointnettransformer_isometrica_ajustada.summary.json,0.957875,0.815013,0.687783,
