row_i,tag,sample_name,jaw,path,png_all,png_errors,png_d21,pred_npy,gt_npy,xyz_npy
0,test_row0_01MAVHYZ,01MAVHYZ,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/01MAVHYZ,inference_all/test_row0_01MAVHYZ.png,inference_errors/test_row0_01MAVHYZ.png,inference_d21/test_row0_01MAVHYZ.png,predictions/test_row0_01MAVHYZ_pred.npy,predictions/test_row0_01MAVHYZ_gt.npy,predictions/test_row0_01MAVHYZ_xyz.npy
1,test_row1_01FR2S9H,01FR2S9H,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/01FR2S9H,inference_all/test_row1_01FR2S9H.png,inference_errors/test_row1_01FR2S9H.png,inference_d21/test_row1_01FR2S9H.png,predictions/test_row1_01FR2S9H_pred.npy,predictions/test_row1_01FR2S9H_gt.npy,predictions/test_row1_01FR2S9H_xyz.npy
2,test_row2_01AVY0SK,01AVY0SK,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/01AVY0SK,inference_all/test_row2_01AVY0SK.png,inference_errors/test_row2_01AVY0SK.png,inference_d21/test_row2_01AVY0SK.png,predictions/test_row2_01AVY0SK_pred.npy,predictions/test_row2_01AVY0SK_gt.npy,predictions/test_row2_01AVY0SK_xyz.npy
3,test_row3_ECZA08SG,ECZA08SG,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/ECZA08SG,,,,predictions/test_row3_ECZA08SG_pred.npy,predictions/test_row3_ECZA08SG_gt.npy,predictions/test_row3_ECZA08SG_xyz.npy
4,test_row4_OEIWQQMQ,OEIWQQMQ,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/OEIWQQMQ,inference_all/test_row4_OEIWQQMQ.png,inference_errors/test_row4_OEIWQQMQ.png,inference_d21/test_row4_OEIWQQMQ.png,predictions/test_row4_OEIWQQMQ_pred.npy,predictions/test_row4_OEIWQQMQ_gt.npy,predictions/test_row4_OEIWQQMQ_xyz.npy
5,test_row5_6BWQC0CT,6BWQC0CT,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/6BWQC0CT,inference_all/test_row5_6BWQC0CT.png,inference_errors/test_row5_6BWQC0CT.png,inference_d21/test_row5_6BWQC0CT.png,predictions/test_row5_6BWQC0CT_pred.npy,predictions/test_row5_6BWQC0CT_gt.npy,predictions/test_row5_6BWQC0CT_xyz.npy
6,test_row6_MC39MU3H,MC39MU3H,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/MC39MU3H,inference_all/test_row6_MC39MU3H.png,inference_errors/test_row6_MC39MU3H.png,inference_d21/test_row6_MC39MU3H.png,predictions/test_row6_MC39MU3H_pred.npy,predictions/test_row6_MC39MU3H_gt.npy,predictions/test_row6_MC39MU3H_xyz.npy
7,test_row7_ASUXPX7O,ASUXPX7O,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/ASUXPX7O,inference_all/test_row7_ASUXPX7O.png,inference_errors/test_row7_ASUXPX7O.png,inference_d21/test_row7_ASUXPX7O.png,predictions/test_row7_ASUXPX7O_pred.npy,predictions/test_row7_ASUXPX7O_gt.npy,predictions/test_row7_ASUXPX7O_xyz.npy
8,test_row8_U1HFBZ1F,U1HFBZ1F,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/U1HFBZ1F,inference_all/test_row8_U1HFBZ1F.png,inference_errors/test_row8_U1HFBZ1F.png,inference_d21/test_row8_U1HFBZ1F.png,predictions/test_row8_U1HFBZ1F_pred.npy,predictions/test_row8_U1HFBZ1F_gt.npy,predictions/test_row8_U1HFBZ1F_xyz.npy
9,test_row9_QVUPP39R,QVUPP39R,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/QVUPP39R,inference_all/test_row9_QVUPP39R.png,inference_errors/test_row9_QVUPP39R.png,inference_d21/test_row9_QVUPP39R.png,predictions/test_row9_QVUPP39R_pred.npy,predictions/test_row9_QVUPP39R_gt.npy,predictions/test_row9_QVUPP39R_xyz.npy
