model,row_i,tag,sample_name,jaw,path,inference_dir,png_all,png_errors,png_d21,xyz_npy,gt_npy,pred_npy,acc_all,acc_no_bg,f1_macro,iou_macro,d21_acc,d21_f1,d21_iou,d21_bin_acc_all,d21_bin_f1_all,d21_bin_iou_all,score_composite,selection_type,rank_metric,rank_metric_value,target_value,group_mean,group_median
DGCNN,73,test_row73_1LYSVDBP,1LYSVDBP,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/1LYSVDBP,/home/htaucare/Tesis_Amaro/outputs/dgcnn/grid_pro_runner_v2_gpu1/exp06_bs8_lr2e4_k20_emb768_bg003/inference,inference_all/test_row73_1LYSVDBP.png,inference_errors/test_row73_1LYSVDBP.png,inference_d21/test_row73_1LYSVDBP.png,predictions/test_row73_1LYSVDBP_xyz.npy,predictions/test_row73_1LYSVDBP_gt.npy,predictions/test_row73_1LYSVDBP_pred.npy,0.9501953125,0.9957264957264957,0.9958808895542987,0.9918256877663437,0.9993894993833982,0.9968847351714366,0.9937888198140503,0.9938964843737866,0.8648648648414902,0.7619047618684807,0.9953690119158789,best,score_composite,0.9953690119158789,0.9953690119158789,0.9254967604366813,0.9658982413623338
DGCNN,71,test_row71_3EU06ZN9,3EU06ZN9,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/3EU06ZN9,/home/htaucare/Tesis_Amaro/outputs/dgcnn/grid_pro_runner_v2_gpu1/exp06_bs8_lr2e4_k20_emb768_bg003/inference,inference_all/test_row71_3EU06ZN9.png,inference_errors/test_row71_3EU06ZN9.png,inference_d21/test_row71_3EU06ZN9.png,predictions/test_row71_3EU06ZN9_xyz.npy,predictions/test_row71_3EU06ZN9_gt.npy,predictions/test_row71_3EU06ZN9_pred.npy,0.8138427734375,0.3266178266178266,0.2945541884104609,0.23748431917605833,0.8901098901044561,0.18918918918066716,0.1044776119351006,0.97485351562381,0.1693548387028486,0.09251101321178365,0.22760422148696335,worst,score_composite,0.22760422148696335,0.22760422148696335,0.9254967604366813,0.9658982413623338
DGCNN,1,test_row1_01FR2S9H,01FR2S9H,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/01FR2S9H,/home/htaucare/Tesis_Amaro/outputs/dgcnn/grid_pro_runner_v2_gpu1/exp06_bs8_lr2e4_k20_emb768_bg003/inference,inference_all/test_row1_01FR2S9H.png,inference_errors/test_row1_01FR2S9H.png,inference_d21/test_row1_01FR2S9H.png,predictions/test_row1_01FR2S9H_xyz.npy,predictions/test_row1_01FR2S9H_gt.npy,predictions/test_row1_01FR2S9H_pred.npy,0.951416015625,0.942002442002442,0.8670963858662603,0.8395583956240421,0.9981684981624044,0.9914529914247449,0.9830508474020875,0.9962158203112839,0.9182058047251133,0.8487804877634741,0.922390191084948,closest_to_mean,score_composite,0.922390191084948,0.9254967604366813,0.9254967604366813,0.9658982413623338
DGCNN,74,test_row74_K6LK1YRK,K6LK1YRK,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/K6LK1YRK,/home/htaucare/Tesis_Amaro/outputs/dgcnn/grid_pro_runner_v2_gpu1/exp06_bs8_lr2e4_k20_emb768_bg003/inference,inference_all/test_row74_K6LK1YRK.png,inference_errors/test_row74_K6LK1YRK.png,inference_d21/test_row74_K6LK1YRK.png,predictions/test_row74_K6LK1YRK_xyz.npy,predictions/test_row74_K6LK1YRK_gt.npy,predictions/test_row74_K6LK1YRK_pred.npy,0.9556884765625,0.9755799755799756,0.9754383843727173,0.9526707101782482,0.9945054944994232,0.9677419354491849,0.9374999999348957,0.9934082031237872,0.8333333333076132,0.7142857142479213,0.9658982413623338,closest_to_median,score_composite,0.9658982413623338,0.9658982413623338,0.9254967604366813,0.9658982413623338
PointNet,92,test_row92_VXRFUE19,VXRFUE19,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/VXRFUE19,/home/htaucare/Tesis_Amaro/outputs/pointnet_classic/grid_pro_runner_v1/exp03_bs16_lr3e4_do05_bg003_amp/inference,inference_all/test_row92_VXRFUE19.png,inference_errors/test_row92_VXRFUE19.png,inference_d21/test_row92_VXRFUE19.png,predictions/test_row92_VXRFUE19_xyz.npy,predictions/test_row92_VXRFUE19_gt.npy,predictions/test_row92_VXRFUE19_pred.npy,0.9259033203125,0.9719169719169719,0.9755966803072323,0.9552064245215104,0.9999999999938951,0.9999999999728261,0.9999999999456521,0.996093749998784,0.919999999977,0.8518518518124142,0.9827007761935987,best,score_composite,0.9827007761935987,0.9827007761935987,0.8870023355552981,0.9258242146571216
PointNet,71,test_row71_3EU06ZN9,3EU06ZN9,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/3EU06ZN9,/home/htaucare/Tesis_Amaro/outputs/pointnet_classic/grid_pro_runner_v1/exp03_bs16_lr3e4_do05_bg003_amp/inference,inference_all/test_row71_3EU06ZN9.png,inference_errors/test_row71_3EU06ZN9.png,inference_d21/test_row71_3EU06ZN9.png,predictions/test_row71_3EU06ZN9_xyz.npy,predictions/test_row71_3EU06ZN9_gt.npy,predictions/test_row71_3EU06ZN9_pred.npy,0.61083984375,0.3412698412698413,0.31159088594273093,0.2052766136253498,0.9151404151348282,0.3534883720765819,0.21468926552459383,0.9678955078113184,0.22418879055385874,0.12624584717188553,0.30596106093031117,worst,score_composite,0.30596106093031117,0.30596106093031117,0.8870023355552981,0.9258242146571216
PointNet,66,test_row66_01FC0082,01FC0082,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/01FC0082,/home/htaucare/Tesis_Amaro/outputs/pointnet_classic/grid_pro_runner_v1/exp03_bs16_lr3e4_do05_bg003_amp/inference,inference_all/test_row66_01FC0082.png,inference_errors/test_row66_01FC0082.png,inference_d21/test_row66_01FC0082.png,predictions/test_row66_01FC0082_xyz.npy,predictions/test_row66_01FC0082_gt.npy,predictions/test_row66_01FC0082_pred.npy,0.9117431640625,0.9474969474969475,0.8737382338200859,0.8405900962577301,0.9804639804579948,0.9187817258650055,0.8497652581760673,0.9934082031237872,0.8701923076713896,0.7702127659246718,0.8879729454519567,closest_to_mean,score_composite,0.8879729454519567,0.8870023355552981,0.8870023355552981,0.9258242146571216
PointNet,79,test_row79_4OTQF1P6,4OTQF1P6,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/4OTQF1P6,/home/htaucare/Tesis_Amaro/outputs/pointnet_classic/grid_pro_runner_v1/exp03_bs16_lr3e4_do05_bg003_amp/inference,inference_all/test_row79_4OTQF1P6.png,inference_errors/test_row79_4OTQF1P6.png,inference_d21/test_row79_4OTQF1P6.png,predictions/test_row79_4OTQF1P6_xyz.npy,predictions/test_row79_4OTQF1P6_gt.npy,predictions/test_row79_4OTQF1P6_pred.npy,0.912353515625,0.9395604395604396,0.8745384934048891,0.828758365291165,0.9999999999938951,0.9999999999662161,0.9999999999324324,0.9932861328112874,0.8433048432808176,0.7290640393729525,0.9258242146571216,closest_to_median,score_composite,0.9258242146571216,0.9258242146571216,0.8870023355552981,0.9258242146571216
PointNetPP,91,test_row91_01MAVT6A,01MAVT6A,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/01MAVT6A,/home/htaucare/Tesis_Amaro/outputs/pointnetpp/grid_pro_runner_v2/exp04_bs8_lr3e4_r010_020_040_ns32/inference,inference_all/test_row91_01MAVT6A.png,inference_errors/test_row91_01MAVT6A.png,inference_d21/test_row91_01MAVT6A.png,predictions/test_row91_01MAVT6A_xyz.npy,predictions/test_row91_01MAVT6A_gt.npy,predictions/test_row91_01MAVT6A_pred.npy,0.9580078125,0.9914529914529915,0.987076684242175,0.9758302162412411,0.9999999999938951,0.9999999999673203,0.9999999999346405,0.9947509765612856,0.8767908309204357,0.780612244858132,0.9907267251045142,best,score_composite,0.9907267251045142,0.9907267251045142,0.9301805225784151,0.9573648959328411
PointNetPP,71,test_row71_3EU06ZN9,3EU06ZN9,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/3EU06ZN9,/home/htaucare/Tesis_Amaro/outputs/pointnetpp/grid_pro_runner_v2/exp04_bs8_lr3e4_r010_020_040_ns32/inference,inference_all/test_row71_3EU06ZN9.png,inference_errors/test_row71_3EU06ZN9.png,inference_d21/test_row71_3EU06ZN9.png,predictions/test_row71_3EU06ZN9_xyz.npy,predictions/test_row71_3EU06ZN9_gt.npy,predictions/test_row71_3EU06ZN9_pred.npy,0.911865234375,0.7796092796092796,0.6965972861055458,0.6366087230463597,0.9035409035353875,0.10227272726691632,0.05389221556563519,0.9776611328113065,0.0895522388015148,0.04687499999755859,0.3844378659214346,worst,score_composite,0.3844378659214346,0.3844378659214346,0.9301805225784151,0.9573648959328411
